"Lots-et-parties-de-lot";"";"";"";"";"";"";"";"";"";""
"Name";"ACT_PartieDeLot.Lot";"ACT_PartieDeLot.Nature";"ACT_PartieDeLot.Unite";"ACT_Propriete.Nature";"ZoneName";"ZoneObjectType";"ACT_Acces.Nom";"Area";"Volume"
"";"";"";"";"";"";"";"";"";""
"Unterfahrt";"";"ASCENSEUR";"";"commun";"";"";"";"1,97 m²";"2,17 m³"
"garage";"";"GARAGE INTERIEUR";"";"commun";"";"";"U";"161,95 m²";"366,42 m³"
"Technik";"003,B,B,81";"LOCAL TECHNIQUE";"";"";"003,B,B,81";"BUREAU-TRIPLEX/TERRASSE(S)";"";"41,09 m²";"93,55 m³"
"emplacement";"018,U,A,81";"EMPLACEMENT INTERIEUR";"";"";"018,U,A,81";"EMPLACEMENT INTERIEUR";"";"13,50 m²";"28,36 m³"
"emplacement";"019,U,A,81";"EMPLACEMENT INTERIEUR";"";"";"019,U,A,81";"EMPLACEMENT INTERIEUR";"";"12,44 m²";"26,13 m³"
"emplacement";"020,U,A,81";"EMPLACEMENT INTERIEUR";"";"";"020,U,A,81";"EMPLACEMENT INTERIEUR";"";"12,44 m²";"26,13 m³"
"emplacement";"021,U,A,81";"EMPLACEMENT INTERIEUR";"";"";"021,U,A,81";"EMPLACEMENT INTERIEUR";"";"12,44 m²";"26,13 m³"
"emplacement";"022,U,A,81";"EMPLACEMENT INTERIEUR";"";"";"022,U,A,81";"EMPLACEMENT INTERIEUR";"";"12,44 m²";"26,13 m³"
"emplacement";"023,U,A,81";"EMPLACEMENT INTERIEUR";"";"";"023,U,A,81";"EMPLACEMENT INTERIEUR";"";"13,24 m²";"27,81 m³"
"emplacement";"024,U,A,81";"EMPLACEMENT INTERIEUR";"";"";"024,U,A,81";"EMPLACEMENT INTERIEUR";"";"11,99 m²";"25,19 m³"
"emplacement";"025,U,A,81";"EMPLACEMENT INTERIEUR";"";"";"025,U,A,81";"EMPLACEMENT INTERIEUR";"";"12,43 m²";"26,11 m³"
"emplacement";"026,U,A,81";"EMPLACEMENT INTERIEUR";"";"";"026,U,A,81";"EMPLACEMENT INTERIEUR";"";"12,43 m²";"26,11 m³"
"emplacement";"027,U,A,81";"EMPLACEMENT INTERIEUR";"";"";"027,U,A,81";"EMPLACEMENT INTERIEUR";"";"13,74 m²";"28,87 m³"
"Technik";"";"LOCAL TECHNIQUE";"";"commun";"";"";"";"7,69 m²";"16,45 m³"
"Gang";"";"COULOIR";"";"commun";"";"";"";"9,49 m²";"20,29 m³"
"Keller";"013,A,A,81";"CAVE";"";"";"013,A,A,81";"CAVE";"";"3,16 m²";"6,75 m³"
"Keller";"014,A,A,81";"CAVE";"";"";"014,A,A,81";"CAVE";"";"3,82 m²";"8,16 m³"
